Location,Source,Year,Total,Low
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2010/table53.htm,2010,149,10
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2010/table11.htm,2010,1036,79
NYS,https://www.health.ny.gov/statistics/vital_statistics/2010/table07.htm,2010,242914,19910
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2011/table53.htm,2011,149,17
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2011/table11.htm,2011,1020,81
NYS,https://www.health.ny.gov/statistics/vital_statistics/2011/table07.htm,2011,239736,19417
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2012/table53.htm,2012,159,9
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2012/table11.htm,2012,1045,65
NYS,https://www.health.ny.gov/statistics/vital_statistics/2012/table07.htm,2012,239224,18935
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2013/table53.htm,2013,167,17
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2013/table11.htm,2013,1028,69
NYS,https://www.health.ny.gov/statistics/vital_statistics/2013/table07.htm,2013,235274,18670
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2014/table53.htm,2014,164,11
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2014/table11.htm,2014,1084,82
NYS,https://www.health.ny.gov/statistics/vital_statistics/2014/table07.htm,2014,238000,18644
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2015/table53.htm,2015,167,16
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2015/table11.htm,2015,1032,63
NYS,https://www.health.ny.gov/statistics/vital_statistics/2015/table07.htm,2015,235964,18419
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2016/table53.htm,2016,149,7
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2016/table11.htm,2016,988,52
NYS,https://www.health.ny.gov/statistics/vital_statistics/2016/table07.htm,2016,232663,18394
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2009/table53.htm,2009,156,8
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2009/table11.htm,2009,1051,59
NYS,https://www.health.ny.gov/statistics/vital_statistics/2009/table07.htm,2009,246592,20226
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2008/table53.htm,2008,173,9
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2008/table11.htm,2008,1111,59
NYS,https://www.health.ny.gov/statistics/vital_statistics/2008/table07.htm,2008,249655,20471
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2007/table53.htm,2007,168,16
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2007/table11.htm,2007,1119,80
NYS,https://www.health.ny.gov/statistics/vital_statistics/2007/table07.htm,2007,252662,20560
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2007/table53.htm,2017,169,10
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2007/table11.htm,2017,976,65
NYS,https://www.health.ny.gov/statistics/vital_statistics/2007/table07.htm,2017,228501,18423
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2018/table53.htm,2018,137,16
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2018/table11.htm,2018,977,75
NYS,https://www.health.ny.gov/statistics/vital_statistics/2018/table07.htm,2018,225162,18115
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2019/table53.htm,2019,121,8
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2019/table11.htm,2019,970,67
NYS,https://www.health.ny.gov/statistics/vital_statistics/2019/table07.htm,2019,220536,17745
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2020/table53.htm,2020,133,14
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2020/table11.htm,2020,948,61
NYS,https://www.health.ny.gov/statistics/vital_statistics/2020/table07.htm,2020,207590,16971
Geneva,https://www.health.ny.gov/statistics/vital_statistics/2021/table53.htm,2021,135,19
Ontario,https://www.health.ny.gov/statistics/vital_statistics/2021/table11.htm,2021,979,73
NYS,https://www.health.ny.gov/statistics/vital_statistics/2021/table07.htm,2021,209947,17593